iter	RMSE
0	0.9379692526
1	0.8869900985
2	0.8378076925
3	0.7964372176
4	0.7515158594
5	0.7161230307
6	0.6805664813
7	0.6508607509
8	0.6274915326
9	0.6028572172
10	0.5825658374
11	0.5614852797
12	0.5403012452
13	0.521075313
14	0.504647154
15	0.4833551427
16	0.4697770842
17	0.4570330551
18	0.4475188475
19	0.4392661672
20	0.4279214311
21	0.4190547541
22	0.4111734039
23	0.4007157864
24	0.3930310825
25	0.3855257534
26	0.3808535004
27	0.3742359976
28	0.3686078123
29	0.3615630821
30	0.3545223742
31	0.3495400329
32	0.3442260642
33	0.3410495074
34	0.3363348757
35	0.3320071275
36	0.3302650927
37	0.3268927179
38	0.3233812873
39	0.3199891
40	0.316827453
41	0.3143453771
42	0.3127678378
43	0.3103696417
44	0.3080705167
45	0.3046754195
46	0.301503984
47	0.2990885562
48	0.2965605212
49	0.2951042946
50	0.2930725879
51	0.2912115162
52	0.289408192
53	0.2879821342
54	0.2859907726
55	0.284152623
56	0.2822845559
57	0.2800655049
58	0.2774739688
59	0.2763259476
60	0.274745299
61	0.2719935334
62	0.2700163827
63	0.2677718833
64	0.2660964106
65	0.2638019504
66	0.2626528839
67	0.2605999293
68	0.2596166582
69	0.2578445017
70	0.2567722767
71	0.2556171258
72	0.2548653968
73	0.2540756127
74	0.2532563457
75	0.2517140153
76	0.2506815116
77	0.2486788246
78	0.2480280669
79	0.2463328088
80	0.2440204005
81	0.2426913628
82	0.2401940846
83	0.2376671498
84	0.2362296668
85	0.2348634594
86	0.2338837544
87	0.232033166
88	0.2313868846
89	0.2304789288
90	0.2289633698
91	0.2275465576
92	0.2254997332
93	0.2239168953
94	0.2224855781
95	0.2210689382
96	0.2198030621
97	0.2184815068
98	0.216269063
99	0.2150106442
