iter	Passed	Remaining
0	0	86
1	1	89
2	2	89
3	3	86
4	4	85
5	5	83
6	6	81
7	6	80
8	8	87
9	9	88
10	10	86
11	11	86
12	12	86
13	14	86
14	15	85
15	15	83
16	16	81
17	17	79
18	18	78
19	19	76
20	20	75
21	20	73
22	21	72
23	22	70
24	23	69
25	23	68
26	25	67
27	26	66
28	26	65
29	27	64
30	28	63
31	29	61
32	29	60
33	30	58
34	30	57
35	31	56
36	32	54
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	36	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	40	38
51	41	37
52	41	36
53	42	35
54	42	34
55	42	33
56	43	32
57	43	31
58	44	30
59	44	29
60	45	28
61	45	27
62	46	27
63	46	26
64	47	25
65	47	24
66	48	23
67	48	22
68	48	21
69	49	21
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	51	15
77	52	14
78	52	13
79	52	13
80	53	12
81	53	11
82	53	11
83	54	10
84	54	9
85	54	8
86	55	8
87	55	7
88	55	6
89	55	6
90	56	5
91	56	4
92	56	4
93	57	3
94	57	3
95	57	2
96	57	1
97	58	1
98	58	0
99	58	0
